"Name","State","Created","End Time","Notes","Updated","ID","User","Group","Job Type","Tags","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","optimizer","optimizer_lr","epoch","loss_train/depth","loss_train/semseg","loss_train/total","loss_val/depth","loss_val/semseg","loss_val/total","trainer/LR","trainer/global_step","metrics_summary/depth","metrics_summary/semseg","metrics_summary/multitask","Runtime","num_epochs","batch_size","name","resume","EC2_Hostname","EC2_Instance_ID","EC2_Rsync","EC2_SSH","EC2_SSH_Tmux","S3_Link","S3_Path","Team_Id","aug_geom_reflect","aug_geom_scale_max","aug_geom_scale_min","aug_geom_tilt_max_deg","aug_geom_wiggle_max_ratio","aug_input_crop_size","batch_size_validation","dataset","dataset_root","log_dir","loss_weight_contour","loss_weight_depth","loss_weight_normal","loss_weight_semseg","lr_scheduler","lr_scheduler_power","model_encoder_name","model_name","num_steps_visualization_first","num_steps_visualization_interval","observe_train_ids","observe_valid_ids","optimizer_momentum","optimizer_weight_decay","prepare_submission","visualize_img_grid_width","visualize_num_samples_in_batch","workers","workers_validation","metrics_task_depth/delta1","metrics_task_depth/delta2","metrics_task_depth/delta3","metrics_task_depth/inv_mae","metrics_task_depth/inv_rmse","metrics_task_depth/log_mae","metrics_task_depth/log_rmse","metrics_task_depth/mae","metrics_task_depth/rel","metrics_task_depth/rel_squared","metrics_task_depth/rmse","metrics_task_depth/si_log_rmse","metrics_task_semseg/bicycle","metrics_task_semseg/building","metrics_task_semseg/bus","metrics_task_semseg/car","metrics_task_semseg/fence","metrics_task_semseg/mean_iou","metrics_task_semseg/motorcycle","metrics_task_semseg/person","metrics_task_semseg/pole","metrics_task_semseg/rider","metrics_task_semseg/road","metrics_task_semseg/sidewalk","metrics_task_semseg/sky","metrics_task_semseg/terrain","metrics_task_semseg/traffic_light","metrics_task_semseg/traffic_sign","metrics_task_semseg/train","metrics_task_semseg/truck","metrics_task_semseg/vegetation","metrics_task_semseg/wall"
"WithNormal_0.16_Weight","finished","2022-05-12T15:04:20.000Z","2022-05-13T11:13:13.000Z","Row 2 in Table 13, 14,  and Figure 19: Task Distillation + Normal with normal_weight 0.16 ","2022-05-13T12:37:10.000Z","18924ode","loh0um","","","","","ip-172-31-19-114","","","","1","Tesla K80","adam","0.0001","15","0.17345726490020752","0.15714487433433533","0.14040569961071014","0.08227048814296722","0.10219363123178482","0.18446411192417145","0.000008246924153354485","79999","17.28442605556698","85.57282305447275","68.28839699890577","72533","16","4","WithNormal_0.16_Weight","None","ec2-18-117-125-36.us-east-2.compute.amazonaws.com","i-02e059a1f48ee1236","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-18-117-125-36.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-117-125-36.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-117-125-36.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0512-1504_WithNormal_0.16_Weight_d3ea7/","s3://dlad22-team30-ex2/T30_0512-1504_WithNormal_0.16_Weight_d3ea7/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.42","0.16","0.42","poly","0.9","resnet34","task_distillation_with_normal","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","89.63079944373975","96.60989179909356","98.52234687593068","0.007155796940659461","0.01304597378128178","0.10359665040144568","0.17670628803691413","3.2163298363037813","0.11752468566495249","0.09814523492658472","7.949402912204323","17.28442605556698","72.29785295809988","93.97036232394431","88.46341308493956","93.42411524512649","86.56393084293498","85.57282305447275","76.15039044167852","79.81177064521957","64.9950582934233","77.55831314455801","98.54918296154032","93.69674826665074","96.68931429417007","90.10952095492368","70.85219451809289","84.82232330196831","90.31267466530676","83.63613650985972","91.3348563210079","92.645479261537"
"WeightedBCE_ContourLoss_0.16_Weight","finished","2022-05-12T14:57:33.000Z","2022-05-13T10:03:10.000Z","-","2022-05-13T13:08:00.000Z","13ycvdjq","loh0um","","","","","ip-172-31-29-184","","","","1","Tesla K80","adam","0.0001","15","0.0593227781355381","0.12021663784980774","0.07540655136108398","0.08077965676784515","0.10093315690755844","0.181712806224823","0.000008246924153354485","79999","16.525517772845895","85.5985230836944","69.07300531084852","68737","16","4","WeightedBCE_ContourLoss_0.16_Weight","None","ec2-3-16-138-182.us-east-2.compute.amazonaws.com","i-082550aef9edb6a19","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-16-138-182.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-16-138-182.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-16-138-182.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0512-1457_WeightedBCE_ContourLoss_0.16_Weight_6d6a5/","s3://dlad22-team30-ex2/T30_0512-1457_WeightedBCE_ContourLoss_0.16_Weight_6d6a5/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.42","0.16","0.42","poly","0.9","resnet34","task_distillation_with_contour","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","90.43975509095276","96.83196832265952","98.6423861451206","0.006282368920332101","0.011593518681987916","0.0976100046158212","0.16952253730431868","3.1423739585666457","0.10923169669832472","0.08345961500652062","7.870035046781923","16.525517772845895","72.10675408434143","94.17783641976104","88.12410150978764","93.26573346630806","88.07378579162781","85.5985230836944","75.31084770762676","79.93293512507381","66.68516078716304","77.31735939166465","98.46148857031967","93.59107495515548","96.76975321509934","89.72419392182223","69.98080725834593","84.70441300340171","90.11805479583252","83.38453078837246","91.4015237177118","93.24158408077837"
"WithCannyEdgesEndAfterUpsampling_run5","finished","2022-05-11T15:21:04.000Z","2022-05-11T16:51:25.000Z","-","2022-05-11T16:51:25.000Z","2zuezwlk","loh0um","","","","","ip-172-31-18-33","","","","1","Tesla K80","adam","0.0001","15","0.15537497401237488","0.15252794325351715","0.1539514660835266","0.08080677688121796","0.0977877676486969","0.17859455943107605","0.000008246924153354485","79999","17.369300590805402","85.99393971480643","68.62463912400102","5421","16","4","WithCannyEdgesEndAfterUpsampling_run5","s3://dlad22-team30-ex2/T30_0510-2127_WithCannyEdgesEndAfterUpsampling_run4_1263f/","ec2-3-14-27-2.us-east-2.compute.amazonaws.com","i-00fac7c600f33701e","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-14-27-2.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-14-27-2.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-14-27-2.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0511-1521_WithCannyEdgesEndAfterUpsampling_run5_39c3a/","s3://dlad22-team30-ex2/T30_0511-1521_WithCannyEdgesEndAfterUpsampling_run5_39c3a/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.5","0","0.5","poly","0.9","resnet34","task_distillation","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","88.91627448410387","96.48020767727876","98.6269482911536","0.007436966311857994","0.014592546933533138","0.10476292557051894","0.17703604637980663","3.187872829804703","0.1164532987828302","0.08502598787894461","7.870558738831583","17.369300590805402","72.64004751618727","94.3174052404435","88.79055886174405","93.61955514110625","88.47737957314344","85.99393971480643","75.93085697177987","80.51033034248206","68.43443856708934","74.94733625825998","98.60825511399096","93.82443694243932","96.45756048660776","90.17860819278224","71.84839902172963","85.55842274048157","90.54927574417236","84.32308000700758","91.53010618625444","93.33880167362092"
"WithCannyEdgesEndAfterUpsampling_run4","crashed","2022-05-10T21:27:06.000Z","2022-05-11T03:55:18.000Z","-","2022-05-11T03:55:18.000Z","2znmy9fu","loh0um","","","","","ip-172-31-21-31","","","","1","Tesla K80","adam","0.0001","15","0.054062992334365845","0.10798896849155426","0.08102598041296005","0.0831732228398323","0.10338261723518372","0.18655584752559665","0.000015389305190183222","78249","17.76237225171516","85.34674201370913","67.58436976199397","23292","16","4","WithCannyEdgesEndAfterUpsampling_run4","s3://dlad22-team30-ex2/T30_0510-1300_WithCannyEdgesEndAfterUpsampling_run3_edcde/","ec2-18-117-224-21.us-east-2.compute.amazonaws.com","i-02029e684b818e8fb","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-18-117-224-21.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-117-224-21.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-117-224-21.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0510-2127_WithCannyEdgesEndAfterUpsampling_run4_1263f/","s3://dlad22-team30-ex2/T30_0510-2127_WithCannyEdgesEndAfterUpsampling_run4_1263f/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.5","0","0.5","poly","0.9","resnet34","task_distillation","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","88.5674993600038","96.26483549181826","98.50404646238142","0.007425028577998027","0.014705454614353002","0.1059153522445046","0.18065294476045607","3.25746487278993","0.11895764942576914","0.09307706493426672","7.983414602531666","17.76237225171516","72.40869422041509","94.23783776313049","88.59955119875927","93.08411545571197","87.12049005537358","85.34674201370913","75.8578699108244","80.42826583505587","68.0173450436592","71.07931923984816","98.5247686650302","93.64255781282831","95.881332183098","90.04698510523372","69.94081136421806","85.26031527791012","90.25882842928308","83.13051955162335","91.38727748690538","92.6812136615651"
"WithNormal","finished","2022-05-10T14:48:05.000Z","2022-05-11T10:36:30.000Z","Row 3 in Table 13 and Row 2 in Table 14 and Figure 19: Task Distillation + Normals with normal_weight 0.28","2022-05-13T12:38:51.000Z","1na3486n","loh0um","","","","","ip-172-31-30-22","","","","1","Tesla K80","adam","0.0001","15","0.15165400505065918","0.10854196548461914","0.09644550085067748","0.08149491995573044","0.10057947784662248","0.1820743978023529","0.000008246924153354485","79999","16.67798869210121","85.79207790778668","69.11408921568547","71305","16","4","WithNormal","None","ec2-3-144-196-95.us-east-2.compute.amazonaws.com","i-020d22444153f7e66","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-144-196-95.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-144-196-95.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-144-196-95.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0510-1448_WithNormal_d02ba/","s3://dlad22-team30-ex2/T30_0510-1448_WithNormal_d02ba/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.36","0.28","0.36","poly","0.9","resnet34","task_distillation_with_normal","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","89.9449368284562","96.62533349608768","98.5418722162412","0.006694307202281399","0.012010329532474674","0.10323468772031542","0.17404238450115503","3.2374532652306818","0.1173084250817736","0.09270001579960235","7.910642084503966","16.67798869210121","72.37897742625096","94.12608925035232","87.92548228540305","93.53727464433972","88.81200040815881","85.79207790778668","76.22491490746002","80.28215274979328","66.34671790088163","77.49710136663435","98.54716590445224","93.59764786781416","96.72192672330236","89.9528165555497","70.5687786557874","85.04554202719827","90.39439512224996","83.54119028077164","91.24521275561207","93.30409341593489"
"WithCannyEdgesEndAfterUpsampling_run3","crashed","2022-05-10T13:00:42.000Z","2022-05-10T20:38:04.000Z","-","2022-05-10T20:38:04.000Z","2lw80g1u","loh0um","","","","","ip-172-31-30-141","","","","1","Tesla K80","adam","0.0001","10","0.14171332120895386","0.13399258255958557","0.13785295188426971","0.09420943260192872","0.11794372648000716","0.21215316653251648","0.000047520417865598574","53299","19.1332260643566","83.47795428620631","64.34472822184972","27442","16","4","WithCannyEdgesEndAfterUpsampling_run3","s3://dlad22-team30-ex2/T30_0510-0806_WithCannyEdgesEndAfterUpsampling_run2_0f3aa/","ec2-3-138-103-85.us-east-2.compute.amazonaws.com","i-02d249f99f53f09f6","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-3-138-103-85.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-138-103-85.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-3-138-103-85.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0510-1300_WithCannyEdgesEndAfterUpsampling_run3_edcde/","s3://dlad22-team30-ex2/T30_0510-1300_WithCannyEdgesEndAfterUpsampling_run3_edcde/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.5","0","0.5","poly","0.9","resnet34","task_distillation","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","85.92397659761842","95.6178091992318","98.2144526914345","0.008633286377575891","0.016160978714494824","0.12183860975790874","0.1971191742121198","3.654236120511419","0.13744555193702812","0.10656820758440616","8.523979027993708","19.1332260643566","67.6995523142664","93.50762355519431","85.20554780086958","91.75549507110794","85.4260202299868","83.47795428620631","70.72158578714067","77.97408378146744","63.66688852930923","73.4682787946835","98.28704906820668","92.73572400574916","96.48841880979796","88.65873582557862","66.48973736568897","82.83346310389024","88.05352402608007","80.54097404216145","90.45054104631478","92.11788828042611"
"WithCannyEdgesEndAfterUpsampling_run2","crashed","2022-05-10T08:06:58.000Z","2022-05-10T10:48:01.000Z","-","2022-05-10T10:48:01.000Z","o69l53ts","loh0um","","","","","ip-172-31-21-212","","","","1","Tesla K80","adam","0.0001","5","0.3013933598995209","0.1758229434490204","0.23860815167427063","0.11563718318939208","0.1645502746105194","0.2801874577999115","0.00007718895358266309","26799","21.195941920859173","78.44528867752908","57.24934675666991","9663","16","4","WithCannyEdgesEndAfterUpsampling_run2","s3://dlad22-team30-ex2/T30_0509-2342_WithCannyEdgesEndAfterUpsampling_254f5/","ec2-13-58-51-22.us-east-2.compute.amazonaws.com","i-0c630c8145179180b","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-13-58-51-22.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-13-58-51-22.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-13-58-51-22.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0510-0806_WithCannyEdgesEndAfterUpsampling_run2_0f3aa/","s3://dlad22-team30-ex2/T30_0510-0806_WithCannyEdgesEndAfterUpsampling_run2_0f3aa/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.5","0","0.5","poly","0.9","resnet34","task_distillation","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","82.12560878768377","94.4934224334788","97.8885138962039","0.009701044840214052","0.01701091151836048","0.14215617902656855","0.218787253610183","4.286687308413516","0.15868108665412473","0.12888298906843867","9.431361979057614","21.195941920859173","63.72502312347635","92.00468058635975","78.02978294061116","89.3195922291594","77.62038073287823","78.44528867752908","64.40651985680596","70.61989391376041","57.83630962439485","60.287098498279065","97.27995705139432","89.81726184967388","96.26106337648376","86.48725273913337","55.550936659584806","77.08601461837323","84.70903655762025","73.5014306190649","88.36684771459234","87.5514021814064"
"WithCannyEdgesEndAfterUpsampling","crashed","2022-05-09T23:42:29.000Z","2022-05-10T03:34:51.000Z","-","2022-05-10T03:34:51.000Z","t47q1q29","loh0um","","","","","ip-172-31-26-208","","","","1","Tesla K80","adam","0.0001","3","0.06710749119520187","0.1849885135889053","0.1260479986667633","0.11932992935180664","0.1649242788553238","0.28425419330596924","0.00008867623546393588","17899","21.83645885995132","78.262101217364","56.42564235741269","13942","16","4","WithCannyEdgesEndAfterUpsampling","None","ec2-18-191-34-229.us-east-2.compute.amazonaws.com","i-09632e48fc22e0888","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-18-191-34-229.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-191-34-229.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-191-34-229.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0509-2342_WithCannyEdgesEndAfterUpsampling_254f5/","s3://dlad22-team30-ex2/T30_0509-2342_WithCannyEdgesEndAfterUpsampling_254f5/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0","0.5","0","0.5","poly","0.9","resnet34","task_distillation","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","79.97345282768673","93.54865828125322","97.44881848259598","0.0106351661330975","0.01841905701285063","0.1523644546706727","0.23116523288977292","4.495389141729445","0.17743894463380108","0.14549163985031527","9.624562012700611","21.83645885995132","60.9398771623373","91.61781036099964","79.71078831028616","89.4655733300434","74.28379045016479","78.262101217364","66.43992557961944","72.852044003094","55.39980176360233","66.400944672362","96.98470407477376","89.04209421429782","96.0562395137315","85.16716554752792","57.50978643063759","79.17130472361546","81.21946623864862","69.237486625028","89.0846829574752","86.39643717167108"
"WithContour_OnlySemanticContour_run3","finished","2022-05-09T12:29:23.000Z","2022-05-09T19:02:34.000Z","-","2022-05-09T19:19:57.000Z","1xwuqazk","alansavio25","","","","","ip-172-31-16-6","","","","1","Tesla K80","adam","0.0001","15","0.14172673225402832","0.16265371441841123","0.1462727189064026","0.07983704656362534","0.0989060029387474","0.17874304950237274","0.000008246924153354485","79999","16.668089946086802","85.90901118302976","69.24092123694297","23591","16","4","WithContour_OnlySemanticContour_run3","s3://dlad22-team30-ex2/T30_0509-0615_WithContour_OnlySemanticContour_run2_209c4/epoch=10-step=54999.ckpt","ec2-18-221-180-233.us-east-2.compute.amazonaws.com","i-09ccab41d89d68444","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-18-221-180-233.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-221-180-233.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-221-180-233.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0509-1229_WithContour_OnlySemanticContour_run3_58e35/","s3://dlad22-team30-ex2/T30_0509-1229_WithContour_OnlySemanticContour_run3_58e35/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.28","0.36","","0.36","poly","0.9","resnet34","task_distillation_with_contour","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","90.37239926903337","96.7677006083234","98.59315296968438","0.0064202541795509846","0.011826156067466525","0.09849071976482188","0.17073429193684428","3.1396920652886524","0.1112648869561372","0.08903712528922061","7.817809279518598","16.668089946086802","72.26676054861369","94.37100570605132","88.66542745515747","93.7004194039846","88.21339120315801","85.90901118302976","75.38781240443691","80.24617192143332","66.89163757562015","77.72585118244733","98.5535290356614","93.6384505381851","96.7788077483334","90.0473699826105","71.38073834236255","85.21322325541371","90.38687845833054","83.9717690570209","91.55470891641752","93.27725974232698"
"WeightedBCE_ContourLoss_run3","finished","2022-05-09T12:16:54.000Z","2022-05-09T22:25:03.000Z","Row 2 in Table 11 and Row 2 in Table 12 and Figure 17: Task Distillation + Contours with weight 0.28/0.36/0.36","2022-05-13T12:38:20.000Z","25eno1x1","alansavio25","","","","","ip-172-31-23-115","","","","1","Tesla K80","adam","0.0001","15","0.22767208516597748","0.14548176527023315","0.14326296746730804","0.07976526021957397","0.09755662083625792","0.1773218810558319","0.000008246924153354485","79999","16.66183522132618","86.18253985654417","69.52070463521798","36489","16","4","WeightedBCE_ContourLoss_run3","s3://dlad22-team30-ex2/T30_0509-0644_WeightedBCE_ContourLoss_run2_2c669/epoch=7-step=39999.ckpt","ec2-18-118-199-243.us-east-2.compute.amazonaws.com","i-0eaac2b630e3f0744","rsync -av -e 'ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem' . --exclude 'wandb/' --exclude 'doc/' ubuntu@ec2-18-118-199-243.us-east-2.compute.amazonaws.com:~/code/","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-118-199-243.us-east-2.compute.amazonaws.com","ssh -q -o StrictHostKeyChecking=no -o LogLevel=ERROR -o ConnectTimeout=180 -i ~/.ssh/dlad-aws.pem ubuntu@ec2-18-118-199-243.us-east-2.compute.amazonaws.com -t tmux attach-session -t dlad","https://s3.console.aws.amazon.com/s3/buckets/dlad22-team30-ex2?region=us-east-2&prefix=T30_0509-1216_WeightedBCE_ContourLoss_run3_c0699/","s3://dlad22-team30-ex2/T30_0509-1216_WeightedBCE_ContourLoss_run3_c0699/","30","false","1","1","0","0","256","8","miniscapes","/home/ubuntu/miniscapes","/home/ubuntu/results","0.28","0.36","","0.36","poly","0.9","resnet34","task_distillation_with_contour","100","1000","[0,100]","[0,100]","0.9","0.0001","false","8","8","16","4","90.44674253714848","96.71056959275906","98.561072937053","0.006296268627193281","0.011668471088988197","0.0976279959880428","0.17047235608677191","3.13726543824254","0.11091053929399317","0.09136448603885096","7.814846311469886","16.66183522132618","72.48281286198495","94.37832188552116","88.58524762938447","93.56086707156092","88.93684452034223","86.18253985654417","76.30571514245085","80.70905889475561","67.79656660238108","78.60251507608731","98.59174243444951","93.8569726027513","96.78333856071028","89.93939902776495","72.08852679629675","85.3151347930527","90.39924828342184","84.01496960787617","91.4955555524349","93.6254199311122"
